index,title,year,published,district,url
123,Gosford 2019,2019,2019-03-23,Gosford,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Gosford.zip
124,Goulburn 2019,2019,2019-03-23,Goulburn,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Goulburn.zip
125,Granville 2019,2019,2019-03-23,Granville,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Granville.zip
126,Hawkesbury 2019,2019,2019-03-23,Hawkesbury,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Hawkesbury.zip
127,Heathcote 2019,2019,2019-03-23,Heathcote,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Heathcote.zip
128,Heffron 2019,2019,2019-03-23,Heffron,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Heffron.zip
129,Holsworthy 2019,2019,2019-03-23,Holsworthy,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Holsworthy.zip
130,Hornsby 2019,2019,2019-03-23,Hornsby,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Hornsby.zip
131,Keira 2019,2019,2019-03-23,Keira,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Keira.zip
132,Kiama 2019,2019,2019-03-23,Kiama,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Kiama.zip
133,Kogarah 2019,2019,2019-03-23,Kogarah,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Kogarah.zip
134,Ku-ring-gai 2019,2019,2019-03-23,Ku-ring-gai,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Ku-ring-gai.zip
135,Lake Macquarie 2019,2019,2019-03-23,Lake Macquarie,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Lake%20Macquarie.zip
136,Lakemba 2019,2019,2019-03-23,Lakemba,https://pastvtr.elections.nsw.gov.au/SG1901/LA/albury/SGE2019%20LA%20Pref%20Data%20Lakemba.zip
